,Unnamed: 0,webURL,numViolations,id,finalScore,impact,tags,description,help,helpUrl,nodes,html,failureSummary
10,6,https://slack.com/,10,landmark-no-duplicate-contentinfo,32.0,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one contentinfo landmark,Document should not have more than one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-contentinfo?application=playwright,"[{'any': [{'id': 'page-no-duplicate-contentinfo', 'data': None, 'relatedNodes': [{'html': '<div role=""contentinfo"" class=""c-nav--footer__metasocial"">', 'target': ['.c-nav--footer__metasocial']}], 'impact': 'moderate', 'message': 'Document has more than one contentinfo landmark'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<footer class=""c-nav c-nav--footer"">', 'target': ['footer'], 'failureSummary': 'Fix any of the following:\n  Document has more than one contentinfo landmark'}]",,
11,7,https://slack.com/,10,landmark-unique,32.0,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright,"[{'any': [{'id': 'landmark-is-unique', 'data': {'role': 'banner', 'accessibleText': None}, 'relatedNodes': [{'html': '<div class=""c-announcement-banner banner--fixed-top"" data-persist-on-cta-click="""" role=""banner"">', 'target': ['.c-announcement-banner']}], 'impact': 'moderate', 'message': 'The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<header role=""banner"" id=""banner"">', 'target': ['#banner'], 'failureSummary': 'Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable'}, {'any': [{'id': 'landmark-is-unique', 'data': {'role': 'contentinfo', 'accessibleText': None}, 'relatedNodes': [{'html': '<div role=""contentinfo"" class=""c-nav--footer__metasocial"">', 'target': ['.c-nav--footer__metasocial']}], 'impact': 'moderate', 'message': 'The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<footer class=""c-nav c-nav--footer"">', 'target': ['footer'], 'failureSummary': 'Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable'}]",,
12,8,https://slack.com/,10,region,32.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,"[{'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<a class=""c-button v--primary c-skip-link is-focusable"" data-clog-click="""" data-clog-ui-component=""inc_skip_link"" data-clog-ui-element=""link_skip"" href=""#main_focusable"">Skip to main content</a>', 'target': ['.c-skip-link'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}]",,
13,9,https://slack.com/,10,skip-link,32.0,moderate,"['cat.keyboard', 'best-practice']",Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/4.8/skip-link?application=playwright,"[{'any': [{'id': 'skip-link', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'No skip link target'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<a class=""c-button v--primary c-skip-link is-focusable"" data-clog-click="""" data-clog-ui-component=""inc_skip_link"" data-clog-ui-element=""link_skip"" href=""#main_focusable"">Skip to main content</a>', 'target': ['.c-skip-link'], 'failureSummary': 'Fix any of the following:\n  No skip link target'}]",,
14,0,https://soundcloud.com/,3,meta-viewport,11.0,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144', 'EN-301-549', 'EN-9.1.4.4', 'ACT']","Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=playwright,"[{'any': [{'id': 'meta-viewport', 'data': 'user-scalable=no', 'relatedNodes': [], 'impact': 'critical', 'message': 'user-scalable=no on <meta> tag disables zooming on mobile devices'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<meta content=""width=device-width,minimum-scale=1,maximum-scale=1,user-scalable=no"" name=""viewport"">', 'target': ['meta[name=""viewport""]'], 'failureSummary': 'Fix any of the following:\n  user-scalable=no on <meta> tag disables zooming on mobile devices'}]",,
15,1,https://soundcloud.com/,3,page-has-heading-one,11.0,moderate,"['cat.semantics', 'best-practice']","Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright,"[{'any': [], 'all': [{'id': 'page-has-heading-one', 'data': None, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Page must have a level-one heading'}], 'none': [], 'impact': 'moderate', 'html': '<html lang=""en"">', 'target': ['html'], 'failureSummary': 'Fix all of the following:\n  Page must have a level-one heading'}]",,
16,2,https://soundcloud.com/,3,region,11.0,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,"[{'any': [{'id': 'region', 'data': {'isIframe': False}, 'relatedNodes': [], 'impact': 'moderate', 'message': 'Some page content is not contained by landmarks'}], 'all': [], 'none': [], 'impact': 'moderate', 'html': '<p>\n<a href=""/popular/searches"" title=""Popular searches"">Popular searches</a>\n</p>', 'target': ['#app > p'], 'failureSummary': 'Fix any of the following:\n  Some page content is not contained by landmarks'}]",,
17,0,https://symbolic.com/,2,listitem,8.0,serious,"['cat.structure', 'wcag2a', 'wcag131', 'EN-301-549', 'EN-9.1.3.1']",Ensures <li> elements are used semantically,<li> elements must be contained in a <ul> or <ol>,https://dequeuniversity.com/rules/axe/4.8/listitem?application=playwright,"[{'any': [{'id': 'listitem', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'List item does not have a <ul>, <ol> parent element'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<li>AUTOMOTIVE: FOR VEHICLE PRICING AND WEB LISTING FOR MAJOR AUTOMOTIVE MANUFACTURER: CURATED, REPAIRED, AND VALIDATED INTEGRITY OF AUTOMOBILE INSPECTION DATA</li>', 'target': ['.pp-sub-heading > li:nth-child(4)'], 'failureSummary': 'Fix any of the following:\n  List item does not have a <ul>, <ol> parent element'}, {'any': [{'id': 'listitem', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'List item does not have a <ul>, <ol> parent element'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<li>BIOMETRICS: FOR MILITARY BASE SECURITY AND IDENTIFICATION OF FRIEND OR FOE: CURATED, REPAIRED, AND VALIDATED INTEGRITY OF SOURCE DATA FOR SHARING WITH OTHER COUNTRIES</li>', 'target': ['li:nth-child(6)'], 'failureSummary': 'Fix any of the following:\n  List item does not have a <ul>, <ol> parent element'}, {'any': [{'id': 'listitem', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'List item does not have a <ul>, <ol> parent element'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<li>MILITARY: US DEPARTMENT OF DEFENSE: FOR CONDUCTING MILITARY OPERATIONS WORLDWIDE: CURATED, REPAIRED AND VALIDATED&nbsp; DATA FOR WEAPON SYSTEMS TACTICAL SETTINGS DATA</li>', 'target': ['li:nth-child(8)'], 'failureSummary': 'Fix any of the following:\n  List item does not have a <ul>, <ol> parent element'}, {'any': [{'id': 'listitem', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'List item does not have a <ul>, <ol> parent element'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<li>DATA SHARING: SUPPORTING&nbsp; AUTHORITATIVE DATA SOURCES WITH METHODS AND TOOLS TO ACHIEVE AND MAINTAIN DATA INTEGRITY</li>', 'target': ['li:nth-child(10)'], 'failureSummary': 'Fix any of the following:\n  List item does not have a <ul>, <ol> parent element'}]",,
18,1,https://symbolic.com/,2,tabindex,8.0,serious,"['cat.keyboard', 'best-practice']",Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright,"[{'any': [{'id': 'tabindex', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has a tabindex greater than 0'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<input aria-invalid=""false"" aria-required=""true"" class=""large"" id=""input_1_1"" name=""input_1"" tabindex=""100"" type=""text"" value="""">', 'target': ['#input_1_1'], 'failureSummary': 'Fix any of the following:\n  Element has a tabindex greater than 0'}, {'any': [{'id': 'tabindex', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has a tabindex greater than 0'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<input aria-invalid=""false"" aria-required=""true"" class=""large"" id=""input_1_2"" name=""input_2"" tabindex=""101"" type=""text"" value="""">', 'target': ['#input_1_2'], 'failureSummary': 'Fix any of the following:\n  Element has a tabindex greater than 0'}, {'any': [{'id': 'tabindex', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has a tabindex greater than 0'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<input aria-invalid=""false"" class=""large"" id=""input_1_3"" name=""input_3"" tabindex=""102"" type=""text"" value="""">', 'target': ['#input_1_3'], 'failureSummary': 'Fix any of the following:\n  Element has a tabindex greater than 0'}, {'any': [{'id': 'tabindex', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has a tabindex greater than 0'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<textarea aria-invalid=""false"" class=""textarea small"" cols=""50"" id=""input_1_4"" name=""input_4"" rows=""10"" tabindex=""103""></textarea>', 'target': ['#input_1_4'], 'failureSummary': 'Fix any of the following:\n  Element has a tabindex greater than 0'}, {'any': [{'id': 'tabindex', 'data': None, 'relatedNodes': [], 'impact': 'serious', 'message': 'Element has a tabindex greater than 0'}], 'all': [], 'none': [], 'impact': 'serious', 'html': '<input class=""gform_button button"" id=""gform_submit_button_1"" onclick=""if(window[&quot;gf_submitting_1&quot;]){return false;}  window[&quot;gf_submitting_1&quot;]=true;  "" onkeypress=""if( event.keyCode == 13 ){ if(window[&quot;gf_submitting_1&quot;]){return false;} window[&quot;gf_submitting_1&quot;]=true;  jQuery(&quot;#gform_1&quot;).trigger(&quot;submit&quot;,[true]); }"" tabindex=""104"" type=""submit"" value=""Submit"">', 'target': ['#gform_submit_button_1'], 'failureSummary': 'Fix any of the following:\n  Element has a tabindex greater than 0'}]",,
0,0,https://vimeo.com/,9,aria-allowed-role,33.0,minor,"['cat.aria', 'best-practice']",Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,"[{'any': [{'id': 'aria-allowed-role', 'data': ['main'], 'relatedNodes': [], 'impact': 'minor', 'message': 'ARIA role main is not allowed for given element'}], 'all': [], 'none': [], 'impact': 'minor', 'html': '<html lang=""en"" role=""main"">', 'target': ['html'], 'failureSummary': 'Fix any of the following:\n  ARIA role main is not allowed for given element'}]",,
1,1,https://vimeo.com/,9,button-name,33.0,critical,"['cat.name-role-value', 'wcag2a', 'wcag412', 'section508', 'section508.22.a', 'TTv5', 'TT6.a', 'EN-301-549', 'EN-9.4.1.2', 'ACT']",Ensures buttons have discernible text,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.8/button-name?application=playwright,"[{'any': [{'id': 'button-has-visible-text', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element does not have inner text that is visible to screen readers'}, {'id': 'aria-label', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-label attribute does not exist or is empty'}, {'id': 'aria-labelledby', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty'}, {'id': 'non-empty-title', 'data': {'messageKey': 'noAttr'}, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element has no title attribute'}, {'id': 'presentational-role', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<button class=""sc-1lgehr1-0 wOINW"">', 'target': ['.sc-1lgehr1-0'], 'failureSummary': 'Fix any of the following:\n  Element does not have inner text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}, {'any': [{'id': 'button-has-visible-text', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element does not have inner text that is visible to screen readers'}, {'id': 'aria-label', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-label attribute does not exist or is empty'}, {'id': 'aria-labelledby', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty'}, {'id': 'non-empty-title', 'data': {'messageKey': 'noAttr'}, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element has no title attribute'}, {'id': 'presentational-role', 'data': None, 'relatedNodes': [], 'impact': 'critical', 'message': 'Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}], 'all': [], 'none': [], 'impact': 'critical', 'html': '<button class=""sc-pn7gv4-0 hBoUGK"">', 'target': ['.sc-pn7gv4-0'], 'failureSummary': 'Fix any of the following:\n  Element does not have inner text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""'}]",,
